policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_446.lp,59384,48163,152.57,0.0,optimal,177.71992441499606,177.194756455
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_446.lp,90030,73792,227.56,0.0,optimal,268.2579514393583,267.49126212
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_1325.lp,59384,48163,152.8,0.0,optimal,177.58251078985631,177.15315102699998
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_1325.lp,90030,73792,228.04,0.0,optimal,268.2447851388715,267.6038241250001
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_1030.lp,59384,48163,152.87,0.0,optimal,177.7788059343584,177.34831297000005
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_1030.lp,90030,73792,227.48,0.0,optimal,267.7432069638744,267.10333468299996
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_1463.lp,59384,48163,152.86,0.0,optimal,177.96177018806338,177.526965475
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_1463.lp,90030,73792,227.99,0.0,optimal,268.4593732608482,267.81804373700015
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_1064.lp,59384,48163,153.14,0.0,optimal,178.11673118080944,177.675934223
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_1064.lp,90030,73792,227.47,0.0,optimal,267.5494235297665,266.9098469480002
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_1922.lp,59384,48163,152.9,0.0,optimal,177.94491400988773,177.500363568
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_1922.lp,90030,73792,227.48,0.0,optimal,267.9288470079191,267.2882592169999
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_1063.lp,59384,48163,152.85,0.0,optimal,177.925215177238,177.4783956780002
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_1063.lp,90030,73792,227.59,0.0,optimal,268.2601364492439,267.61894789200005
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_1099.lp,59384,48163,153.26,0.0,optimal,177.9600501381792,177.5282140559998
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_1099.lp,90030,73792,227.84,0.0,optimal,268.6916455850005,268.04752820199974
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_1348.lp,59384,48163,153.4,0.0,optimal,177.9915868747048,177.5606223179998
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_1348.lp,90030,73792,227.03,0.0,optimal,267.87850667117164,267.2384619600002
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_728.lp,59384,48163,153.09,0.0,optimal,177.93643809342757,177.50550590600005
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_728.lp,90030,73792,227.59,0.0,optimal,267.99626809032634,267.3558146719997
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_325.lp,59384,48163,152.69,0.0,optimal,177.92436245596036,177.38254666100056
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_325.lp,90030,73792,227.82,0.0,optimal,267.8942136801779,267.2542406680004
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_1508.lp,59384,48163,153.11,0.0,optimal,177.91461121384054,177.48361220199968
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_1508.lp,90030,73792,225.55,0.0,optimal,266.105237421114,265.46943166500023
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_1625.lp,59384,48163,150.21,0.0,optimal,175.09374591428787,174.65740783100046
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_1625.lp,90030,73792,223.04,0.0,optimal,263.17963217012584,262.55073239899957
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_1924.lp,59384,48163,150.0,0.0,optimal,175.1260663936846,174.70194707500013
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_1924.lp,90030,73792,223.24,0.0,optimal,263.60258266190067,262.9721621359995
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_569.lp,59384,48163,150.32,0.0,optimal,175.19680282007903,174.75894448399958
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_569.lp,90030,73792,223.49,0.0,optimal,263.6846762006171,263.05453792799926
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_290.lp,59384,48163,150.33,0.0,optimal,175.24852950498462,174.81793567899967
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_290.lp,90030,73792,222.73,0.0,optimal,262.8398575610481,262.2117979190007
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_524.lp,59384,48163,150.53,0.0,optimal,175.32549340464175,174.87865758600037
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_524.lp,90030,73792,222.98,0.0,optimal,262.91348586417735,262.2850960630003
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_586.lp,59384,48163,150.56,0.0,optimal,175.36360894422978,174.92015871000058
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_586.lp,90030,73792,224.24,0.0,optimal,264.6840991778299,264.0514180910004
internal:relpscost,545,tsp25,data/tsp25/instances/test_25n/instance_48.lp,59384,48163,150.49,0.0,optimal,175.2508710906841,174.81621664700015
gnn:supervised,545,tsp25,data/tsp25/instances/test_25n/instance_48.lp,90030,73792,223.09,0.0,optimal,263.740265797358,263.1097162260003
