policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_1.lp,58,102,0.2,0.0,optimal,0.3879325147718191,0.2421439550000004
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_1.lp,58,102,0.19,0.0,optimal,0.23304164689034224,0.23231767800000025
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_2.lp,151,169,0.25,0.0,optimal,0.3497388558462262,0.33044652500000016
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_2.lp,126,135,0.24,0.0,optimal,0.3286371575668454,0.32768593700000004
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_3.lp,121,137,0.23,0.0,optimal,0.39204405201599,0.30914974200000067
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_3.lp,199,224,0.31,0.0,optimal,0.4326520967297256,0.4314258200000003
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_4.lp,43,85,0.17,0.0,optimal,0.23171965591609478,0.21008828700000048
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_4.lp,43,85,0.18,0.0,optimal,0.20678838109597564,0.20606941600000006
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_5.lp,79,119,0.21,0.0,optimal,0.2776357289403677,0.2623894299999998
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_5.lp,79,119,0.2,0.0,optimal,0.25648231664672494,0.25563439200000104
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_6.lp,76,102,0.22,0.0,optimal,0.4422070146538317,0.27729004299999893
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_6.lp,76,102,0.22,0.0,optimal,0.2715293951332569,0.27064499600000147
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_7.lp,157,186,0.31,0.0,optimal,0.41247299406677485,0.39449020300000015
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_7.lp,157,186,0.28,0.0,optimal,0.3884952338412404,0.3873712419999986
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_8.lp,8,73,0.17,0.0,optimal,0.19509262638166547,0.19248094900000012
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_8.lp,13,77,0.16,0.0,optimal,0.18494699196889997,0.1842978420000012
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_9.lp,113,142,0.26,0.0,optimal,0.3564061848446727,0.3436922340000006
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_9.lp,109,139,0.26,0.0,optimal,0.3287044018507004,0.3277437290000016
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_10.lp,213,220,0.3,0.0,optimal,0.4426195709966123,0.4179374229999997
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_10.lp,213,220,0.28,0.0,optimal,0.41104266000911593,0.4098466819999995
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_11.lp,116,149,0.24,0.0,optimal,0.33280157297849655,0.3119087629999999
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_11.lp,132,163,0.25,0.0,optimal,0.32153390534222126,0.3205561819999989
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_12.lp,44,94,0.19,0.0,optimal,0.2746269991621375,0.2321702779999999
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_12.lp,149,202,0.31,0.0,optimal,0.3965826570056379,0.39544616000000055
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_13.lp,220,234,0.31,0.0,optimal,0.44021571800112724,0.4217304510000002
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_13.lp,220,234,0.3,0.0,optimal,0.41535096103325486,0.41415663399999936
