policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_1.lp,2363,2615,4.79,0.0,optimal,6.681443806737661,6.636848958000001
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_1.lp,2363,2615,4.64,0.0,optimal,6.560768837109208,6.545360687999999
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_2.lp,171,271,0.54,0.0,optimal,0.6991775869391859,0.6854820299999993
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_2.lp,171,271,0.51,0.0,optimal,0.6707473858259618,0.6683438600000002
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_3.lp,391,432,0.8,0.0,optimal,1.0467995419166982,1.0335107749999999
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_3.lp,391,432,0.77,0.0,optimal,1.0099453423172235,1.0072106919999975
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_4.lp,1352,1309,1.99,0.0,optimal,2.758650850970298,2.7394844149999997
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_4.lp,1188,1351,1.91,0.0,optimal,2.6407969458959997,2.6346924350000016
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_5.lp,276,391,0.71,0.0,optimal,0.9350213059224188,0.9017365349999977
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_5.lp,167,284,0.48,0.0,optimal,0.6364453071728349,0.6349094619999995
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_6.lp,163,274,0.55,0.0,optimal,0.7037554210983217,0.6853578429999985
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_6.lp,170,246,0.52,0.0,optimal,0.6553065730258822,0.6532558600000016
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_7.lp,265,409,0.67,0.0,optimal,0.8973321951925755,0.8677638429999988
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_7.lp,330,526,0.79,0.0,optimal,1.0511142290197313,1.048624604000004
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_8.lp,416,579,0.93,0.0,optimal,1.2494111158885062,1.2290278740000034
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_8.lp,416,579,0.92,0.0,optimal,1.201588325202465,1.1987418639999987
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_9.lp,617,689,1.06,0.0,optimal,1.3967931061051786,1.3798559240000046
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_9.lp,617,689,1.01,0.0,optimal,1.3414646410383284,1.337407192999997
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_10.lp,703,871,1.35,0.0,optimal,1.8435225719586015,1.822537023999999
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_10.lp,703,871,1.29,0.0,optimal,1.7847620267421007,1.7804871630000036
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_11.lp,376,405,0.76,0.0,optimal,1.063839283771813,1.0210446509999969
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_11.lp,487,537,0.94,0.0,optimal,1.2152210660278797,1.2123436520000013
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_12.lp,4711,4562,8.27,0.0,optimal,11.748092889785767,11.702884756000003
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_12.lp,5343,4962,8.55,0.0,optimal,12.342071724589914,12.314219713
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_13.lp,320,518,1.01,0.0,optimal,1.3842917350120842,1.3255979319999938
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_13.lp,179,312,0.53,0.0,optimal,0.6879273038357496,0.6862738919999885
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_14.lp,680,765,1.31,0.0,optimal,1.7486465661786497,1.726537042000004
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_14.lp,846,898,1.5,0.0,optimal,2.0812561162747443,2.0765476409999906
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_15.lp,511,718,1.13,0.0,optimal,1.4685525787062943,1.4566367729999996
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_15.lp,511,718,1.07,0.0,optimal,1.4154703300446272,1.4120942229999969
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_16.lp,6236,6610,12.49,0.0,optimal,17.723261178005487,17.66691297199999
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_16.lp,5226,5479,9.63,0.0,optimal,13.90695636626333,13.875617674999987
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_17.lp,635,790,1.37,0.0,optimal,1.8084373651072383,1.7940549919999995
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_17.lp,427,513,0.93,0.0,optimal,1.2730786930769682,1.2699531900000096
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_18.lp,583,640,1.13,0.0,optimal,1.543550930917263,1.5102533609999966
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_18.lp,605,717,1.2,0.0,optimal,1.6004168381914496,1.5966617100000065
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_19.lp,1211,1163,1.73,0.0,optimal,2.305078896228224,2.276006363999997
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_19.lp,1211,1163,1.63,0.0,optimal,2.209352955687791,2.204205449
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_20.lp,882,1001,1.74,0.0,optimal,2.391413385979831,2.3674543810000017
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_20.lp,882,1001,1.7,0.0,optimal,2.3449388588778675,2.3396086489999988
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_21.lp,1652,1729,2.92,0.0,optimal,4.005599677097052,3.982005920000006
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_21.lp,1518,1640,2.71,0.0,optimal,3.7864413862116635,3.7776443889999882
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_22.lp,1383,1473,2.23,0.0,optimal,2.9775021937675774,2.941296374999979
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_22.lp,1317,1433,2.01,0.0,optimal,2.7620413922704756,2.7555281339999738
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_23.lp,234,282,0.58,0.0,optimal,0.775273647159338,0.7526417189999961
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_23.lp,130,235,0.45,0.0,optimal,0.5693968613632023,0.5680150700000013
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_24.lp,231,324,0.76,0.0,optimal,0.9849224518984556,0.9640374550000104
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_24.lp,217,299,0.66,0.0,optimal,0.8682597181759775,0.8658113349999894
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_25.lp,3823,3755,5.86,0.0,optimal,7.980714501813054,7.954081859000013
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_25.lp,3823,3755,5.67,0.0,optimal,7.814301108010113,7.796901802999997
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_26.lp,1138,1247,1.94,0.0,optimal,2.586482306011021,2.556536410999996
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_26.lp,412,524,0.84,0.0,optimal,1.138050019275397,1.135004787000014
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_27.lp,337,498,0.89,0.0,optimal,1.1914019659161568,1.173246029000012
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_27.lp,522,661,1.14,0.0,optimal,1.5180360213853419,1.514588324000016
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_28.lp,213,302,0.66,0.0,optimal,0.8728863853029907,0.8561483700000281
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_28.lp,271,339,0.69,0.0,optimal,0.962384648155421,0.9601582489999885
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_29.lp,444,489,0.88,0.0,optimal,1.2947507370263338,1.1689704009999957
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_29.lp,444,489,0.89,0.0,optimal,1.146098867058754,1.1433225229999948
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_30.lp,242,391,0.69,0.0,optimal,0.8877409719862044,0.8692950459999906
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_30.lp,242,391,0.68,0.0,optimal,0.8455556379631162,0.8435066299999789
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_31.lp,256,413,0.72,0.0,optimal,0.965092736762017,0.9508700509999812
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_31.lp,548,709,1.12,0.0,optimal,1.524075845722109,1.5203392989999998
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_32.lp,539,698,1.12,0.0,optimal,1.4703163299709558,1.4465359790000036
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_32.lp,539,698,1.08,0.0,optimal,1.4045919980853796,1.401279996999989
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_33.lp,1688,1556,2.96,0.0,optimal,4.258977770805359,4.212779987999994
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_33.lp,1339,1312,2.41,0.0,optimal,3.509734173770994,3.5017605319999916
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_34.lp,3465,3217,6.37,0.0,optimal,9.194111343938857,9.144359686000001
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_34.lp,3465,3217,6.16,0.0,optimal,9.074956578668207,9.054809441000003
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_35.lp,2075,1891,2.97,0.0,optimal,4.048024510033429,4.021678568000027
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_35.lp,1774,1712,2.56,0.0,optimal,3.5831215628422797,3.5750610709999933
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_36.lp,668,692,1.15,0.0,optimal,1.6064070779830217,1.538070054000002
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_36.lp,878,894,1.4,0.0,optimal,1.9658232340589166,1.9614524460000098
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_37.lp,3971,3129,4.5,0.0,optimal,6.472342977765948,6.435062372000004
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_37.lp,3971,3129,4.41,0.0,optimal,6.351975372992456,6.33766459200001
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_38.lp,720,930,1.62,0.0,optimal,2.1908649601973593,2.1409872590000134
