policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_1.lp,2363,2615,4.83,0.0,optimal,6.4256953140720725,6.363304867999999
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_1.lp,2363,2615,4.67,0.0,optimal,6.306552178226411,6.291898551999999
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_2.lp,171,271,0.54,0.0,optimal,0.6867361119948328,0.6688678689999996
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_2.lp,171,271,0.51,0.0,optimal,0.6566179050132632,0.6549607480000006
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_3.lp,391,432,0.79,0.0,optimal,1.0078783356584609,1.0029393290000002
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_3.lp,391,432,0.76,0.0,optimal,0.9779873602092266,0.9755542490000018
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_4.lp,1352,1309,2.03,0.0,optimal,2.6733167599886656,2.649720663
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_4.lp,1262,1360,2.0,0.0,optimal,2.63827360002324,2.631809746000002
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_5.lp,276,391,0.7,0.0,optimal,0.9490523668937385,0.8739045410000017
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_5.lp,301,345,0.7,0.0,optimal,0.903259449172765,0.901009822999999
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_6.lp,163,274,0.55,0.0,optimal,0.7680076640099287,0.6613882680000032
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_6.lp,104,202,0.43,0.0,optimal,0.5510106552392244,0.5492453509999997
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_7.lp,265,409,0.67,0.0,optimal,0.8456585626117885,0.8414441950000011
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_7.lp,265,445,0.72,0.0,optimal,0.9066478060558438,0.9044093719999999
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_8.lp,416,579,0.94,0.0,optimal,1.2411493631079793,1.193880496000002
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_8.lp,416,579,0.91,0.0,optimal,1.1644253190606833,1.1616237780000063
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_9.lp,617,689,1.03,0.0,optimal,1.7272814847528934,1.335278959
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_9.lp,617,689,1.03,0.0,optimal,1.3089864002540708,1.3049476839999983
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_10.lp,703,871,1.34,0.0,optimal,1.7748674829490483,1.7557038440000028
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_10.lp,703,871,1.34,0.0,optimal,1.7265544449910522,1.7224208680000004
internal:relpscost,545,tsp15,data/tsp15/instances/test/instance_11.lp,376,405,0.79,0.0,optimal,1.0109379179775715,0.9944854319999976
gnn:supervised,545,tsp15,data/tsp15/instances/test/instance_11.lp,487,537,0.91,0.0,optimal,1.1801495887339115,1.176855737000004
