policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_1.lp,59384,48163,150.34,0.0,optimal,175.43425799300894,175.002142744
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_1.lp,40261,33708,109.84,0.0,optimal,129.03904968686402,128.748135665
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_2.lp,398710,373241,1525.11,0.0,optimal,1835.347305341158,1831.1326789689997
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_2.lp,259088,232969,946.18,0.0,optimal,1158.5953101827763,1155.935705852
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_3.lp,4244,3860,16.71,0.0,optimal,19.992669977713376,19.51606555399985
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_3.lp,4244,3860,15.7,0.0,optimal,18.756324260029942,18.71465633600019
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_4.lp,12468,11407,41.69,0.0,optimal,49.02174372039735,48.89355194300015
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_4.lp,12468,11407,39.61,0.0,optimal,46.967622339725494,46.86081767800033
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_5.lp,18375,16372,58.93,0.0,optimal,69.37020932370797,69.1954897139999
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_5.lp,18375,16372,55.74,0.0,optimal,66.30931076407433,66.1592595330003
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_6.lp,11325,10348,36.36,0.0,optimal,41.94597970787436,41.838303459000144
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_6.lp,11325,10348,34.38,0.0,optimal,40.10408228216693,40.013791894000406
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_7.lp,24661,19521,68.14,0.0,optimal,80.21173677174374,80.00465354700009
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_7.lp,24661,19521,64.61,0.0,optimal,76.5302703930065,76.35714554399965
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_8.lp,62574,58823,236.39,0.0,optimal,276.45766607811674,275.79815900999984
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_8.lp,62574,58823,225.46,0.0,optimal,266.1019407627173,265.5005489159994
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_9.lp,39613,36840,134.16,0.0,optimal,154.60710004111752,154.23879266400036
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_9.lp,39613,36840,126.62,0.0,optimal,147.4240434798412,147.0910341429999
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_10.lp,22771,19318,69.38,0.0,optimal,81.14649811992422,80.94400671400035
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_10.lp,22771,19318,68.12,0.0,optimal,80.25581188220531,80.07590989500022
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_11.lp,34146,32519,110.33,0.0,optimal,126.55267767002806,126.24427264600035
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_11.lp,34146,32519,104.09,0.0,optimal,120.44366128277034,120.17216607199953
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_12.lp,11529,10318,42.17,0.0,optimal,49.229740232694894,49.101267457000176
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_12.lp,11529,10318,39.65,0.0,optimal,47.06039441516623,46.9543186209994
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_13.lp,17646,15745,56.76,0.0,optimal,66.00056739617139,65.83507194400045
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_13.lp,17646,15745,55.85,0.0,optimal,65.42873701872304,65.28181054700053
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_14.lp,1193,1559,6.03,0.0,optimal,6.964058315381408,6.899221063999903
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_14.lp,1193,1559,5.7,0.0,optimal,6.673658344894648,6.658100345999628
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_15.lp,9356,7601,31.3,0.0,optimal,36.954200353007764,36.836509232000026
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_15.lp,6164,5515,20.57,0.0,optimal,24.4064948791638,24.35165470300035
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_16.lp,11998,11054,41.3,0.0,optimal,47.97610447136685,47.84866760500063
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_16.lp,11998,11054,39.12,0.0,optimal,46.0890880478546,45.98625315800018
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_17.lp,5602,4780,20.46,0.0,optimal,24.02582745393738,23.919297164000454
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_17.lp,5602,4780,19.35,0.0,optimal,23.114746251609176,23.062376913999287
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_18.lp,6681,5642,23.59,0.0,optimal,27.6618810063228,27.57669483800055
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_18.lp,6681,5642,22.41,0.0,optimal,26.60833174083382,26.546193590000257
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_19.lp,50291,40590,153.34,0.0,optimal,180.64604011178017,180.22476352400008
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_19.lp,50291,40590,144.75,0.0,optimal,172.89393983222544,172.4926832680003
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_20.lp,4298,3651,13.78,0.0,optimal,16.01134913181886,15.94989609699951
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_20.lp,4298,3651,12.94,0.0,optimal,15.39931271597743,15.363383976000478
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_21.lp,19148,18585,70.77,0.0,optimal,82.35482013598084,82.15003835700008
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_21.lp,19148,18585,67.13,0.0,optimal,79.01411746488884,78.83016422400033
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_22.lp,18944,15736,53.37,0.0,optimal,62.31212343322113,62.15920527799972
gnn:supervised,545,tsp25,data/tsp25/instances/test/instance_22.lp,18944,15736,50.78,0.0,optimal,59.940201056655496,59.80147279800076
internal:relpscost,545,tsp25,data/tsp25/instances/test/instance_23.lp,6512,5128,19.59,0.0,optimal,23.12263223482296,23.048909166000158
