policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_1.lp,58,102,0.19,0.0,optimal,0.4427864393219352,0.24696499200000055
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_1.lp,58,102,0.19,0.0,optimal,0.23835359094664454,0.23758759200000057
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_2.lp,151,169,0.25,0.0,optimal,0.35769451316446066,0.3429338590000004
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_2.lp,57,99,0.18,0.0,optimal,0.739581513684243,0.23298461300000106
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_3.lp,121,137,0.23,0.0,optimal,0.34558056900277734,0.3241815629999998
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_3.lp,199,224,0.31,0.0,optimal,0.45623927284032106,0.4550484060000013
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_4.lp,43,85,0.18,0.0,optimal,0.23148754006251693,0.21462479900000098
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_4.lp,43,85,0.17,0.0,optimal,0.21284740092232823,0.21194946399999992
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_5.lp,79,119,0.2,0.0,optimal,0.2852317476645112,0.26875272199999856
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_5.lp,79,119,0.2,0.0,optimal,0.26613257406279445,0.26536388299999913
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_6.lp,76,102,0.22,0.0,optimal,0.29272305592894554,0.282987026999999
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_6.lp,76,102,0.2,0.0,optimal,0.28076496021822095,0.27997395200000064
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_7.lp,157,186,0.28,0.0,optimal,0.4369114162400365,0.41032188899999866
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_7.lp,157,186,0.29,0.0,optimal,0.4050213247537613,0.4039313249999985
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_8.lp,8,73,0.18,0.0,optimal,0.2032423228956759,0.1944766309999988
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_8.lp,13,77,0.16,0.0,optimal,0.1892505083233118,0.18853643299999945
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_9.lp,113,142,0.26,0.0,optimal,0.36742627806961536,0.3520478829999991
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_9.lp,109,139,0.26,0.0,optimal,0.34199951961636543,0.34106109800000084
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_10.lp,213,220,0.32,0.0,optimal,0.47220240673050284,0.43552528600000073
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_10.lp,213,220,0.28,0.0,optimal,0.4288431340828538,0.4276585519999987
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_11.lp,116,149,0.23,0.0,optimal,0.33466816414147615,0.3202866019999995
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_11.lp,132,163,0.24,0.0,optimal,0.3342944518662989,0.3333236579999994
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_12.lp,44,94,0.19,0.0,optimal,0.24944052193313837,0.23494097000000025
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_12.lp,104,140,0.21,0.0,optimal,0.2878950880840421,0.28605013600000007
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_13.lp,220,234,0.31,0.0,optimal,0.4548315550200641,0.44047320099999965
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_13.lp,220,234,0.3,0.0,optimal,0.4324163533747196,0.43118309399999966
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_14.lp,61,98,0.22,0.0,optimal,0.29353576758876443,0.28059224300000096
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_14.lp,61,98,0.22,0.0,optimal,0.27569662500172853,0.2749370320000004
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_15.lp,172,196,0.25,0.0,optimal,0.38802617508918047,0.37082358800000037
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_15.lp,190,212,0.29,0.0,optimal,0.39590132515877485,0.39483470400000087
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_16.lp,63,110,0.2,0.0,optimal,0.275819004047662,0.25944591800000083
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_16.lp,63,118,0.21,0.0,optimal,0.2903873580507934,0.2895910239999999
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_17.lp,143,182,0.27,0.0,optimal,0.4017266109585762,0.3743892819999992
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_17.lp,143,182,0.26,0.0,optimal,0.3699800972826779,0.36896498799999833
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_18.lp,123,142,0.25,0.0,optimal,0.3599754278548062,0.346733737000001
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_18.lp,136,133,0.28,0.0,optimal,0.36534135323017836,0.3642490489999979
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_19.lp,30,70,0.15,0.0,optimal,0.21097021037712693,0.19158232299999867
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_19.lp,30,70,0.15,0.0,optimal,0.18852370139211416,0.1879130740000008
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_20.lp,99,143,0.24,0.0,optimal,0.3484507300890982,0.3321604960000002
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_20.lp,106,151,0.26,0.0,optimal,0.35074257105588913,0.34970073199999874
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_21.lp,344,316,0.37,0.0,optimal,0.5758332498371601,0.5384055579999973
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_21.lp,344,316,0.38,0.0,optimal,0.532993218395859,0.5316252089999978
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_22.lp,301,298,0.38,0.0,optimal,0.6151713947765529,0.5942908839999994
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_22.lp,279,289,0.39,0.0,optimal,0.5937829888425767,0.5922941510000008
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_23.lp,249,254,0.33,0.0,optimal,0.4928930141031742,0.48109867400000184
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_23.lp,249,254,0.32,0.0,optimal,0.47578570898622274,0.4744830429999993
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_24.lp,596,531,0.72,0.0,optimal,1.143205105792731,1.1267577789999983
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_24.lp,596,531,0.69,0.0,optimal,1.1196522465907037,1.1166632649999997
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_25.lp,163,163,0.26,0.0,optimal,0.41976210102438927,0.3777114260000012
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_25.lp,163,163,0.27,0.0,optimal,0.3742832629941404,0.37330182999999906
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_26.lp,171,200,0.26,0.0,optimal,0.3819617899134755,0.36458117300000126
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_26.lp,171,200,0.26,0.0,optimal,0.36170100700110197,0.3606868110000008
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_27.lp,26,67,0.16,0.0,optimal,0.2067989711649716,0.19195321700000179
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_27.lp,26,67,0.17,0.0,optimal,0.1904558204114437,0.18981310299999876
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_28.lp,290,260,0.35,0.0,optimal,0.5214574611745775,0.4982396219999998
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_28.lp,290,260,0.33,0.0,optimal,0.49304502410814166,0.49173345100000176
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_29.lp,95,117,0.24,0.0,optimal,0.3418375654146075,0.3205282980000028
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_29.lp,117,140,0.25,0.0,optimal,0.3517181118950248,0.3504505239999993
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_30.lp,73,118,0.19,0.0,optimal,0.27226965688169,0.2518876960000007
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_30.lp,59,96,0.2,0.0,optimal,0.24290998606011271,0.24196032200000062
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_31.lp,150,179,0.28,0.0,optimal,0.40121116815134883,0.38177708299999935
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_31.lp,150,179,0.27,0.0,optimal,0.3765158918686211,0.3754554670000019
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_32.lp,108,131,0.23,0.0,optimal,0.3158460119739175,0.29558833999999834
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_32.lp,79,131,0.22,0.0,optimal,0.27955074654892087,0.2787833339999999
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_33.lp,320,341,0.46,0.0,optimal,0.7095523620955646,0.6804792589999984
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_33.lp,320,341,0.45,0.0,optimal,0.6696558860130608,0.6679713769999971
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_34.lp,59,86,0.18,0.0,optimal,0.24026455590501428,0.22356665700000278
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_34.lp,59,86,0.18,0.0,optimal,0.2206042422913015,0.2199218000000016
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_35.lp,204,238,0.34,0.0,optimal,0.49933951208367944,0.47884929399999976
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_35.lp,192,229,0.35,0.0,optimal,0.4944871561601758,0.49325228800000076
internal:relpscost,545,tsp10,data/tsp10/instances/test/instance_36.lp,132,140,0.28,0.0,optimal,0.4047571588307619,0.37613162599999583
gnn:supervised,545,tsp10,data/tsp10/instances/test/instance_36.lp,132,140,0.25,0.0,optimal,0.3732382822781801,0.37220553099999876
