policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,545,tsp10,data/tsp10/instances/test_10n/instance_446.lp,49,74,0.15,0.0,optimal,0.17508470900000006,0.17095300000000013
gnn:supervised,545,tsp10,data/tsp10/instances/test_10n/instance_446.lp,49,74,0.16,0.0,optimal,0.1728329580000001,0.172431
internal:relpscost,545,tsp10,data/tsp10/instances/test_10n/instance_1325.lp,49,74,0.14,0.0,optimal,0.16256779200000016,0.161783
gnn:supervised,545,tsp10,data/tsp10/instances/test_10n/instance_1325.lp,49,74,0.15,0.0,optimal,0.17918458300000006,0.17461799999999994
internal:relpscost,545,tsp10,data/tsp10/instances/test_10n/instance_1030.lp,49,74,0.14,0.0,optimal,0.16289333299999997,0.16095199999999998
gnn:supervised,545,tsp10,data/tsp10/instances/test_10n/instance_1030.lp,49,74,0.15,0.0,optimal,0.17030533299999995,0.17024600000000012
internal:relpscost,545,tsp10,data/tsp10/instances/test_10n/instance_1463.lp,49,74,0.15,0.0,optimal,0.1673235420000001,0.165362
gnn:supervised,545,tsp10,data/tsp10/instances/test_10n/instance_1463.lp,49,74,0.16,0.0,optimal,0.176891291,0.17636200000000013
internal:relpscost,545,tsp10,data/tsp10/instances/test_10n/instance_1064.lp,49,74,0.14,0.0,optimal,0.15941862499999981,0.15889100000000012
gnn:supervised,545,tsp10,data/tsp10/instances/test_10n/instance_1064.lp,49,74,0.16,0.0,optimal,0.17294420899999974,0.17278300000000035
internal:relpscost,545,tsp10,data/tsp10/instances/test_10n/instance_1922.lp,49,74,0.15,0.0,optimal,0.1632068750000002,0.16126899999999988
gnn:supervised,545,tsp10,data/tsp10/instances/test_10n/instance_1922.lp,49,74,0.15,0.0,optimal,0.17193529200000013,0.17166399999999982
internal:relpscost,545,tsp10,data/tsp10/instances/test_10n/instance_1063.lp,49,74,0.14,0.0,optimal,0.16248504200000013,0.16108100000000025
gnn:supervised,545,tsp10,data/tsp10/instances/test_10n/instance_1063.lp,49,74,0.15,0.0,optimal,0.17169287499999975,0.1709900000000002
internal:relpscost,545,tsp10,data/tsp10/instances/test_10n/instance_1099.lp,49,74,0.14,0.0,optimal,0.15929216700000026,0.15787700000000005
gnn:supervised,545,tsp10,data/tsp10/instances/test_10n/instance_1099.lp,49,74,0.15,0.0,optimal,0.17279058400000036,0.17235200000000006
internal:relpscost,545,tsp10,data/tsp10/instances/test_10n/instance_1348.lp,49,74,0.14,0.0,optimal,0.16140325000000022,0.1597609999999996
gnn:supervised,545,tsp10,data/tsp10/instances/test_10n/instance_1348.lp,49,74,0.15,0.0,optimal,0.17125962499999936,0.17114900000000066
internal:relpscost,545,tsp10,data/tsp10/instances/test_10n/instance_728.lp,49,74,0.14,0.0,optimal,0.160957625,0.15930599999999995
gnn:supervised,545,tsp10,data/tsp10/instances/test_10n/instance_728.lp,49,74,0.15,0.0,optimal,0.17517225000000014,0.1722929999999998
internal:relpscost,545,tsp10,data/tsp10/instances/test_10n/instance_325.lp,49,74,0.14,0.0,optimal,0.16189637500000043,0.16012100000000018
gnn:supervised,545,tsp10,data/tsp10/instances/test_10n/instance_325.lp,49,74,0.15,0.0,optimal,0.17002012500000063,0.16975400000000018
