policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_21.lp,3623,3607,10.4,0.0,optimal,13.122415651101619,13.070286076999992
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_21.lp,3623,3607,9.89,0.0,optimal,12.750722341705114,12.721788799000024
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_22.lp,16505,11994,28.64,0.0,optimal,36.178167425096035,36.02569499499998
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_22.lp,16505,11994,26.82,0.0,optimal,34.59025981184095,34.509762916
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_23.lp,3296,3285,8.13,0.0,optimal,10.171380981337279,10.136136831000044
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_23.lp,3486,3314,8.0,0.0,optimal,10.300057341810316,10.276515788999973
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_24.lp,2380,2624,6.48,0.0,optimal,8.038991559762508,7.998314316000005
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_24.lp,739,982,2.43,0.0,optimal,2.985041758045554,2.9765599000000975
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_25.lp,43067,34755,92.64,0.0,optimal,119.12802615622059,118.83412793499997
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_25.lp,21090,19285,48.03,0.0,optimal,61.95552965719253,61.81304315600005
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_26.lp,9601,9967,22.35,0.0,optimal,27.713928033132106,27.641052280000054
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_26.lp,9601,9967,20.95,0.0,optimal,26.511966801714152,26.45129835900002
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_27.lp,5666,5073,14.27,0.0,optimal,18.215360241010785,18.156808032999947
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_27.lp,5666,5073,13.47,0.0,optimal,17.569026100914925,17.527473107000105
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_28.lp,807,1087,2.88,0.0,optimal,3.589938653167337,3.562673105000158
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_28.lp,807,1087,2.74,0.0,optimal,3.4780085370875895,3.4701278709999315
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_29.lp,1273,1604,3.99,0.0,optimal,5.043196653947234,4.977098263000016
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_29.lp,652,861,2.11,0.0,optimal,2.7291577123105526,2.7230738749999546
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_30.lp,149680,142508,442.42,0.0,optimal,591.3035728218965,589.936187236
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_30.lp,135833,130162,386.41,0.0,optimal,524.021637944039,522.8295934460002
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_31.lp,2578,2487,6.06,0.0,optimal,7.564159047789872,7.523195252000278
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_31.lp,2578,2487,5.8,0.0,optimal,7.29855384491384,7.281925554000281
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_32.lp,6283,4302,10.3,0.0,optimal,13.223212764132768,13.176055209999959
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_32.lp,6283,4302,9.73,0.0,optimal,12.771678210236132,12.742503558999942
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_33.lp,17486,15715,39.77,0.0,optimal,50.090083041694015,49.944248205999884
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_33.lp,22938,20336,48.21,0.0,optimal,61.96261934703216,61.820041329000105
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_34.lp,5202,5334,12.39,0.0,optimal,15.355944463051856,15.307726633999664
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_34.lp,5202,5334,11.62,0.0,optimal,14.769450329709798,14.735591877999923
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_35.lp,294694,305967,906.05,0.0,optimal,1187.5376449329779,1184.7592611300001
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_35.lp,239847,249155,738.71,0.0,optimal,985.943592691794,983.6989262850002
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_36.lp,6792,5677,14.46,0.0,optimal,18.363222062122077,18.28870567299964
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_36.lp,6792,5677,13.63,0.0,optimal,17.777466311119497,17.737017172999913
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_37.lp,12789,10043,24.74,0.0,optimal,31.570863959845155,31.478932607000388
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_37.lp,12789,10043,23.42,0.0,optimal,30.3416106402874,30.271228864000477
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_38.lp,8492,8002,18.59,0.0,optimal,23.291631751228124,23.226313615000436
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_38.lp,4294,4499,10.09,0.0,optimal,12.887796913273633,12.85803157800001
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_39.lp,6515,7006,17.48,0.0,optimal,21.835102796088904,21.765394299000036
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_39.lp,3781,3717,9.19,0.0,optimal,11.922545629087836,11.895100576999539
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_40.lp,471,438,1.39,0.0,optimal,1.7634712043218315,1.7334947930003182
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_40.lp,471,438,1.33,0.0,optimal,1.6868740832433105,1.6828795729998092
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_41.lp,1018,1183,2.97,0.0,optimal,3.799082945100963,3.772278692999862
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_41.lp,960,1299,3.35,0.0,optimal,4.282041629776359,4.27239898300013
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_42.lp,4297,4266,10.11,0.0,optimal,12.528147490229458,12.48083844499979
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_42.lp,3153,3303,6.82,0.0,optimal,8.70974112674594,8.689670892999857
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_43.lp,18297,17840,50.3,0.0,optimal,64.9674160219729,64.79780150199986
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_43.lp,20847,20263,52.78,0.0,optimal,69.34663209319115,69.18754398999954
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_44.lp,2828,3183,8.6,0.0,optimal,10.56011520139873,10.514547228999618
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_44.lp,2828,3183,8.13,0.0,optimal,10.163545546121895,10.14037581699995
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_45.lp,2577,2613,6.46,0.0,optimal,8.260936359409243,8.156141649000347
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_45.lp,2487,2843,6.14,0.0,optimal,7.766007367987186,7.748275365000154
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_46.lp,82051,72822,171.21,0.0,optimal,214.32291954988614,213.82291175299997
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_46.lp,85745,76396,171.76,0.0,optimal,216.4494417058304,215.9709934800003
internal:relpscost,545,tsp20,data/tsp20/instances/test/instance_47.lp,1800,1807,4.59,0.0,optimal,5.689155974891037,5.658563520999451
gnn:supervised,545,tsp20,data/tsp20/instances/test/instance_47.lp,1800,1807,4.36,0.0,optimal,5.5549830622039735,5.542610393000359
